epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4662.92,1.0328,1.11801,1.089,0.15887,0.15351,0.09486,0.03016,2.23652,3.43937,2.27066,0.000660045,0.000660045,0.000660045
43,4762.61,1.02348,1.07215,1.08466,0.18531,0.09919,0.08755,0.02951,2.17424,3.52525,2.24577,0.000649046,0.000649046,0.000649046
44,4857.38,1.04588,1.10939,1.08957,0.14608,0.12314,0.09248,0.03046,2.16948,3.53298,2.27043,0.000638047,0.000638047,0.000638047
45,4967.21,1.00841,1.06387,1.06912,0.18181,0.15351,0.10046,0.03465,2.168,3.42153,2.26488,0.000627048,0.000627048,0.000627048
46,5063.35,0.97979,1.04595,1.04415,0.16058,0.15351,0.10191,0.04076,2.17805,3.42107,2.21288,0.000616049,0.000616049,0.000616049
47,5149.7,0.95511,1.04015,1.04761,0.17199,0.1552,0.10314,0.0429,2.2191,3.24169,2.17053,0.000605051,0.000605051,0.000605051
48,5262.45,0.98294,1.04596,1.07104,0.20742,0.14238,0.11256,0.04602,2.23999,3.32504,2.22356,0.000594052,0.000594052,0.000594052
49,5368.56,1.02941,1.08861,1.08196,0.20958,0.13596,0.09809,0.04161,2.16838,3.40589,2.21356,0.000583053,0.000583053,0.000583053
50,5465.88,0.94141,0.96216,1.03516,0.19023,0.14238,0.10556,0.04078,2.03831,3.32886,2.1632,0.000572054,0.000572054,0.000572054
51,5568.37,0.98328,1.01291,1.05305,0.15649,0.1552,0.1174,0.04685,2.08815,3.19291,2.129,0.000561055,0.000561055,0.000561055
52,5673.67,0.95837,0.96706,1.02533,0.12576,0.14065,0.09645,0.0419,2.15622,3.28902,2.24962,0.000550056,0.000550056,0.000550056
53,5771.22,0.93798,0.96267,1.04732,0.16725,0.16458,0.09899,0.03742,2.19744,3.38794,2.25964,0.000539057,0.000539057,0.000539057
54,5930.79,0.91474,0.92507,1.03328,0.14884,0.17124,0.10658,0.03841,2.19533,3.40189,2.2944,0.000528058,0.000528058,0.000528058
55,6043.58,0.90973,0.9018,1.03656,0.13875,0.10088,0.09753,0.0341,2.17951,3.39566,2.27098,0.000517059,0.000517059,0.000517059
56,6142.4,0.89018,0.8948,1.0133,0.1472,0.11201,0.09832,0.03285,2.19921,3.36646,2.32452,0.00050606,0.00050606,0.00050606
57,6252.04,0.93877,0.90458,1.02386,0.14225,0.11673,0.09756,0.03867,2.17708,3.4166,2.30017,0.000495062,0.000495062,0.000495062
58,6370.93,0.97246,0.95842,1.05217,0.2134,0.14069,0.11604,0.04472,2.26235,3.31449,2.34055,0.000484063,0.000484063,0.000484063
59,6491.66,0.87203,0.85828,0.99831,0.20962,0.13596,0.1225,0.04782,2.26402,3.25724,2.35313,0.000473064,0.000473064,0.000473064
60,6618.32,0.91293,0.87012,1.02804,0.24423,0.09919,0.09444,0.04019,2.19501,3.42489,2.31705,0.000462065,0.000462065,0.000462065
61,6752.63,0.86369,0.864,1.01115,0.16379,0.12314,0.07719,0.03419,2.20812,3.58645,2.35447,0.000451066,0.000451066,0.000451066
62,6872.29,0.91176,0.90526,1.01802,0.16456,0.09278,0.07608,0.03623,2.21281,3.6254,2.3422,0.000440067,0.000440067,0.000440067
63,6991.68,0.89177,0.89748,1.01028,0.21857,0.12342,0.09827,0.04105,2.16069,3.39868,2.24855,0.000429068,0.000429068,0.000429068
64,7113.81,0.88456,0.85936,1.00369,0.15949,0.18387,0.10808,0.04033,2.1875,3.29235,2.23771,0.000418069,0.000418069,0.000418069
65,7230.21,0.85434,0.81246,0.99444,0.13389,0.11842,0.08908,0.03213,2.20682,3.43385,2.25168,0.00040707,0.00040707,0.00040707
66,7353.83,0.8497,0.84991,0.99723,0.46674,0.12955,0.09876,0.03581,2.22374,3.31571,2.25049,0.000396071,0.000396071,0.000396071
67,7477.99,0.91351,0.8812,1.00545,0.45753,0.12011,0.11666,0.04661,2.13281,3.20742,2.22987,0.000385073,0.000385073,0.000385073
68,7602.33,0.83758,0.82261,0.97966,0.5889,0.09447,0.12014,0.0482,2.10295,3.16654,2.2004,0.000374074,0.000374074,0.000374074
69,7734.12,0.83928,0.8186,0.98798,0.22547,0.11666,0.12237,0.04803,2.09737,3.22784,2.2265,0.000363075,0.000363075,0.000363075
